time_s,H,S,V
31.657,188.65,10.32,70.71
31.736,189.07,10.39,70.77
31.814,188.55,10.48,70.80
31.889,188.95,10.41,70.75
31.970,188.53,10.40,70.75
32.046,189.18,10.40,70.76
32.138,188.71,10.40,70.73
32.248,188.55,10.40,70.76
32.341,189.93,10.39,70.77
32.418,189.45,10.39,70.80
32.495,188.79,10.41,70.76
32.571,188.97,10.42,70.75
32.654,188.15,10.35,70.73
32.732,189.22,10.52,70.79
32.809,188.61,10.45,70.79
32.887,188.14,10.45,70.77
32.965,189.25,10.38,70.76
33.040,188.77,10.53,70.83
33.120,189.37,10.44,70.78
33.195,189.39,10.46,70.81
33.273,188.81,10.45,70.78
33.356,188.81,10.45,70.77
33.446,188.95,10.54,70.84
33.523,188.61,10.49,70.76
33.600,188.80,10.41,70.76
33.677,188.27,10.48,70.79
33.755,189.28,10.41,70.79
33.831,188.41,10.42,70.76
33.907,188.96,10.43,70.80
33.986,188.76,10.47,70.79
34.063,188.74,10.54,70.80
34.143,189.41,10.46,70.78
34.220,188.68,10.45,70.77
34.295,189.61,10.51,70.84
34.373,189.24,10.51,70.83
34.453,189.06,10.49,70.82
34.534,189.50,10.49,70.83
34.609,188.20,10.47,70.79
34.687,188.20,10.47,70.79
34.743,189.02,10.47,70.80
34.799,188.32,10.44,70.79
34.850,188.78,10.41,70.79
34.900,189.22,10.44,70.79
34.952,188.91,10.39,70.75
35.006,188.55,10.44,70.80
35.058,189.03,10.41,70.79
35.138,188.66,10.44,70.80
35.204,189.48,10.42,70.78
35.257,189.26,10.42,70.80
35.310,189.26,10.42,70.80
35.360,188.66,10.48,70.77
35.412,188.59,10.42,70.75
35.463,188.12,10.48,70.80
35.517,188.97,10.38,70.76
35.573,188.16,10.47,70.78
35.624,188.98,10.50,70.80
35.681,188.98,10.50,70.80
35.737,189.01,10.42,70.78
35.791,189.21,10.45,70.78
35.846,188.47,10.37,70.73
35.916,188.71,10.35,70.75
35.990,189.54,10.50,70.79
36.054,188.67,10.51,70.78
36.109,188.47,10.46,70.77
36.162,188.47,10.41,70.75
36.216,187.99,10.49,70.79
36.273,187.98,10.47,70.78
36.327,188.95,10.49,70.77
36.381,188.56,10.52,70.82
36.430,188.74,10.42,70.76
36.533,188.52,10.45,70.75
36.643,188.13,10.47,70.77
36.736,189.31,10.50,70.81
36.831,188.67,10.41,70.76
36.925,188.85,10.47,70.75
37.003,188.73,10.37,70.75
37.092,188.32,10.43,70.76
37.153,189.29,10.52,70.80
37.243,187.96,10.49,70.80
37.296,188.60,10.44,70.77
37.350,189.18,10.41,70.77
37.400,188.74,10.50,70.81
37.450,188.67,10.39,70.75
37.503,189.33,10.56,70.84
37.555,188.30,10.55,70.78
37.608,188.99,10.44,70.77
37.661,188.77,10.43,70.78
37.712,188.41,10.41,70.77
37.764,189.05,10.43,70.77
37.816,188.77,10.42,70.78
37.868,188.87,10.52,70.80
37.921,188.75,10.42,70.76
37.979,188.73,10.47,70.76
38.034,188.76,10.49,70.77
38.088,188.65,10.46,70.80
38.143,188.34,10.46,70.77
38.201,188.82,10.46,70.78
38.256,188.86,10.43,70.78
38.314,189.06,10.52,70.80
38.372,189.21,10.54,70.83
38.428,187.91,10.57,70.81
38.482,190.15,10.50,70.83
38.535,188.90,10.49,70.79
38.589,188.98,10.52,70.79
38.641,189.21,10.51,70.77
38.696,188.81,10.50,70.80
38.747,188.61,10.48,70.77
38.798,189.09,10.50,70.76
38.849,188.05,10.47,70.77
38.901,189.17,10.50,70.77
38.952,188.83,10.50,70.80
39.001,188.61,10.52,70.79
39.051,188.85,10.47,70.76
39.102,188.57,10.49,70.77
39.154,188.95,10.54,70.82
39.209,189.45,10.49,70.78
