elapsed_ms,mean_h,mean_s,mean_v,matched_ratio
32204,52.32,30.00,149.11,0.000000
32251,52.93,30.03,149.17,0.000000
32301,52.39,30.22,149.12,0.000000
32351,52.62,30.08,149.09,0.000000
32401,52.51,30.05,149.10,0.000000
32450,52.58,30.19,149.11,0.000000
32503,52.84,29.89,149.06,0.000000
32552,52.19,30.12,149.14,0.000000
32605,51.55,30.33,149.14,0.000000
32654,52.75,30.16,149.08,0.000000
32701,52.75,30.16,149.08,0.000000
32751,52.45,30.23,149.14,0.000000
32800,52.05,30.28,149.14,0.000000
32847,51.95,30.16,149.12,0.000000
32895,52.28,30.21,149.08,0.000000
32943,52.41,30.16,149.12,0.000000
32989,52.05,30.14,149.14,0.000000
33038,51.86,30.31,149.12,0.000000
33087,52.33,30.10,149.08,0.000000
33137,52.33,30.00,149.09,0.000000
33186,52.58,30.14,149.06,0.000000
33234,52.42,30.14,149.10,0.000000
33281,51.56,30.38,149.07,0.000000
33328,52.75,30.08,149.10,0.000000
33376,51.87,30.42,149.06,0.000000
33424,52.50,30.10,149.10,0.000000
33471,52.56,30.03,149.07,0.000000
33519,52.05,30.13,149.02,0.000000
33565,52.49,29.95,149.07,0.000000
33613,51.83,30.22,149.12,0.000000
33661,52.42,30.16,149.13,0.000000
33709,52.28,30.01,149.02,0.000000
33757,52.20,30.20,149.13,0.000000
33804,52.22,30.28,149.10,0.000000
33851,52.54,29.98,149.05,0.000000
33898,52.57,30.18,149.05,0.000000
33946,52.44,30.13,149.01,0.000000
33994,51.98,30.26,149.08,0.000000
34042,52.00,30.38,149.08,0.000000
34091,51.96,30.16,149.10,0.000000
34140,51.99,30.39,149.06,0.000000
34187,52.04,30.08,149.10,0.000000
34237,52.39,30.23,149.07,0.000000
34284,52.38,30.28,149.09,0.000000
34336,52.49,30.31,149.12,0.000000
34386,52.17,30.26,149.03,0.000000
34436,51.72,30.22,149.07,0.000000
34485,51.38,30.51,149.04,0.000000
34534,51.85,30.38,149.07,0.000000
34585,52.65,30.11,148.97,0.000000
34634,53.01,30.12,148.94,0.000000
34684,52.34,30.17,148.89,0.000000
34734,52.28,30.20,148.91,0.000000
34784,52.78,30.22,148.86,0.000000
34833,52.86,30.40,148.88,0.000000
34882,52.30,30.29,148.87,0.000000
34932,52.69,30.03,148.72,0.000000
34984,52.77,30.39,148.79,0.000000
35033,52.15,30.41,148.75,0.000000
35081,52.57,30.15,148.67,0.000000
35132,52.83,30.14,148.72,0.000000
35184,52.32,30.28,148.63,0.000000
35233,52.45,30.33,148.57,0.000000
35282,53.28,30.46,148.67,0.000000
35334,52.32,30.39,148.59,0.000000
35387,52.75,30.21,148.58,0.000000
35435,51.73,30.43,148.59,0.000000
35484,52.13,30.36,148.61,0.000000
35536,51.86,30.22,148.60,0.000000
35589,52.46,30.29,148.61,0.000000
35642,52.06,30.32,148.57,0.000000
35695,52.13,30.28,148.58,0.000000
35746,52.40,30.45,148.69,0.000000
35795,52.64,30.49,148.70,0.000000
35845,52.19,30.36,148.74,0.000000
35894,51.89,30.35,148.75,0.000000
35943,52.24,30.61,148.79,0.000000
35995,52.36,30.44,148.77,0.000000
36049,51.72,30.42,148.77,0.000000
36102,52.16,30.82,148.89,0.000000
36158,51.95,30.31,148.76,0.000000
36208,51.60,30.34,148.78,0.000000
36260,52.30,30.32,148.81,0.000000
36313,52.00,30.34,148.78,0.000000
36368,51.85,30.33,148.82,0.000000
36421,51.40,30.59,148.89,0.000000
36473,51.82,30.19,148.81,0.000000
36529,51.65,30.66,148.88,0.000000
36584,51.65,30.40,148.84,0.000000
36636,51.83,30.51,148.79,0.000000
36693,51.78,30.33,148.81,0.000000
36744,51.66,30.68,148.80,0.000000
36794,51.51,30.40,148.77,0.000000
36847,51.92,30.46,148.84,0.000000
36895,51.48,30.30,148.75,0.000000
36947,51.51,30.43,148.82,0.000000
36999,51.58,30.50,148.83,0.000000
37051,51.23,30.56,148.78,0.000000
37104,52.02,30.35,148.83,0.000000
37158,51.60,30.44,148.83,0.000000
37208,51.71,30.51,148.74,0.000000
37259,51.14,30.43,148.80,0.000000
37314,51.94,30.65,148.77,0.000000
37366,51.72,30.70,148.77,0.000000
37419,51.31,30.53,148.66,0.000000
37475,51.70,30.36,148.72,0.000000
37528,51.66,30.61,148.67,0.000000
37584,51.69,30.28,148.71,0.000000
37635,52.26,30.48,148.69,0.000000
37689,52.30,30.53,148.70,0.000000
37741,51.71,30.61,148.73,0.000000
37794,52.00,30.53,148.74,0.000000
